acteurs,annee,description,duree,genre,pays,score,titre,titre_original,url
"Al Pacino,Michelle Pfeiffer,Steven Bauer",1983,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",2h 50m,"Crime,Drama",United States,8.3,Scarface,,https://www.imdb.com//title/tt0086250/?ref_=chttp_i_108
"Al Pacino,Robert De Niro,Val Kilmer",1995,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,2h 50m,"Action,Crime,Drama",United States,8.3,Heat,,https://www.imdb.com//title/tt0113277/?ref_=chttp_i_112
"Peter Lorre,Ellen Widmann,Inge Landgut",1931,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",1h 39m,"Crime,Mystery,Thriller",Germany,8.3,M,Original title: M - Eine Stadt sucht einen Mörder,https://www.imdb.com//title/tt0022100/?ref_=chttp_i_105
"Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette",2010,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,2h 11m,"Drama,Mystery,War",Canada,8.3,Incendies,,https://www.imdb.com//title/tt1255953/?ref_=chttp_i_106
"Orson Welles,Joseph Cotten,Dorothy Comingore",1941,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",1h 59m,"Drama,Mystery",United States,8.3,Citizen Kane,,https://www.imdb.com//title/tt0033467/?ref_=chttp_i_103
"Cary Grant,Eva Marie Saint,James Mason",1959,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",2h 16m,"Action,Adventure,Mystery",United States,8.3,North by Northwest,,https://www.imdb.com//title/tt0053125/?ref_=chttp_i_102
"Fred MacMurray,Barbara Stanwyck,Edward G. Robinson",1944,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigato...",1h 47m,"Crime,Drama,Film-Noir",United States,8.3,Double Indemnity,,https://www.imdb.com//title/tt0036775/?ref_=chttp_i_107
"Jack Lemmon,Shirley MacLaine,Fred MacMurray",1960,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",2h 5m,"Comedy,Drama,Romance",United States,8.3,The Apartment,,https://www.imdb.com//title/tt0053604/?ref_=chttp_i_101
"Peter O'Toole,Alec Guinness,Anthony Quinn",1962,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",3h 38m,"Adventure,Biography,Drama",United Kingdom,8.3,Lawrence of Arabia,,https://www.imdb.com//title/tt0056172/?ref_=chttp_i_100
"Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori",1952,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,2h 23m,Drama,Japan,8.3,Ikiru,,https://www.imdb.com//title/tt0044741/?ref_=chttp_i_99
"James Stewart,Kim Novak,Barbara Bel Geddes",1958,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply dis...",2h 8m,"Mystery,Romance,Thriller",United States,8.3,Vertigo,,https://www.imdb.com//title/tt0052357/?ref_=chttp_i_104
"Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp",2012,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to...",1h 55m,Drama,Denmark,8.3,The Hunt,Original title: Jagten,https://www.imdb.com//title/tt2106476/?ref_=chttp_i_96
"Keir Dullea,Gary Lockwood,William Sylvester",1968,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.",2h 29m,"Adventure,Sci-Fi",United Kingdom,8.3,2001: A Space Odyssey,,https://www.imdb.com//title/tt0062622/?ref_=chttp_i_97
"Harvey Keitel,Tim Roth,Michael Madsen",1992,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",1h 39m,"Crime,Thriller",United States,8.3,Reservoir Dogs,,https://www.imdb.com//title/tt0105236/?ref_=chttp_i_98
"Mark Hamill,Harrison Ford,Carrie Fisher",1983,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.",2h 11m,"Action,Adventure,Fantasy",United States,8.3,Star Wars: Episode VI - Return of the Jedi,,https://www.imdb.com//title/tt0086190/?ref_=chttp_i_94
"Jim Carrey,Kate Winslet,Tom Wilkinson",2004,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.",1h 48m,"Drama,Romance,Sci-Fi",United States,8.3,Eternal Sunshine of the Spotless Mind,,https://www.imdb.com//title/tt0338013/?ref_=chttp_i_95
"Tom Hanks,Tim Allen,Joan Cusack",2010,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned ...",1h 43m,"Animation,Adventure,Comedy",United States,8.3,Toy Story 3,,https://www.imdb.com//title/tt0435761/?ref_=chttp_i_93
"Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius",1985,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",2h 22m,"Drama,Thriller,War",Soviet Union,8.4,Come and See,Original title: Idi i smotri,https://www.imdb.com//title/tt0091251/?ref_=chttp_i_92
"Ellen Burstyn,Jared Leto,Jennifer Connelly",2000,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,1h 42m,Drama,United States,8.3,Requiem for a Dream,,https://www.imdb.com//title/tt0180093/?ref_=chttp_i_91
"Gene Kelly,Donald O'Connor,Debbie Reynolds",1952,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,1h 43m,"Comedy,Musical,Romance",United States,8.3,Singin' in the Rain,,https://www.imdb.com//title/tt0045152/?ref_=chttp_i_89
"Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole",2018,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",2h 6m,Drama,Lebanon,8.4,Capernaum,Original title: Capharnaüm,https://www.imdb.com//title/tt8267604/?ref_=chttp_i_90
"Aamir Khan,Madhavan,Mona Singh",2009,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t...",2h 50m,"Comedy,Drama",India,8.4,3 Idiots,,https://www.imdb.com//title/tt1187043/?ref_=chttp_i_87
"Cillian Murphy,Emily Blunt,Matt Damon",2023,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,3h,"Biography,Drama,History",United States,8.3,Oppenheimer,,https://www.imdb.com//title/tt15398776/?ref_=chttp_i_88
"Ryunosuke Kamiki,Mone Kamishiraishi,Ryo Narita",2016,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",1h 46m,"Animation,Drama,Fantasy",Japan,8.4,Your Name.,Original title: Kimi no na wa.,https://www.imdb.com//title/tt5311514/?ref_=chttp_i_84
"Robert De Niro,James Woods,Elizabeth McGovern",1984,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",3h 49m,"Crime,Drama",United States,8.3,Once Upon a Time in America,,https://www.imdb.com//title/tt0087843/?ref_=chttp_i_85
"Robin Williams,Matt Damon,Ben Affleck",1997,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",2h 6m,"Drama,Romance",United States,8.3,Good Will Hunting,,https://www.imdb.com//title/tt0119217/?ref_=chttp_i_83
"Joaquin Phoenix,Robert De Niro,Zazie Beetz",2019,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",2h 2m,"Crime,Drama,Thriller",United States,8.4,Joker,,https://www.imdb.com//title/tt7286456/?ref_=chttp_i_81
"Yôji Matsuda,Yuriko Ishida,Yûko Tanaka",1997,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, th...",2h 14m,"Animation,Action,Adventure",Japan,8.3,Princess Mononoke,Original title: Mononoke-hime,https://www.imdb.com//title/tt0119698/?ref_=chttp_i_82
"Robert Downey Jr.,Chris Evans,Mark Ruffalo",2019,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' action...",3h 1m,"Action,Adventure,Drama",United States,8.4,Avengers: Endgame,,https://www.imdb.com//title/tt4154796/?ref_=chttp_i_80
"Mel Gibson,Sophie Marceau,Patrick McGoohan",1995,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,2h 58m,"Biography,Drama,War",United States,8.3,Braveheart,,https://www.imdb.com//title/tt0112573/?ref_=chttp_i_79
"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann",1981,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,,"Drama,War",West Germany,8.4,The Boat,Original title: Das Boot,https://www.imdb.com//title/tt0082096/?ref_=chttp_i_78
"Toshirô Mifune,Yutaka Sada,Tatsuya Nakadai",1963,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,2h 23m,"Crime,Drama,Mystery",Japan,8.4,High and Low,Original title: Tengoku to jigoku,https://www.imdb.com//title/tt0057565/?ref_=chttp_i_86
"Anthony Gonzalez,Gael García Bernal,Benjamin Bratt",2017,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",1h 45m,"Animation,Adventure,Drama",United States,8.4,Coco,,https://www.imdb.com//title/tt2380307/?ref_=chttp_i_75
"F. Murray Abraham,Tom Hulce,Elizabeth Berridge",1984,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him...",2h 40m,"Biography,Drama,Music",United States,8.4,Amadeus,,https://www.imdb.com//title/tt0086879/?ref_=chttp_i_76
"Tom Hanks,Tim Allen,Don Rickles",1995,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,1h 21m,"Animation,Adventure,Comedy",United States,8.3,Toy Story,,https://www.imdb.com//title/tt0114709/?ref_=chttp_i_77
"Kevin Spacey,Annette Bening,Thora Birch",1999,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,2h 2m,Drama,United States,8.3,American Beauty,,https://www.imdb.com//title/tt0169547/?ref_=chttp_i_73
"Choi Min-sik,Yoo Ji-tae,Kang Hye-jeong",2003,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",2h,"Action,Drama,Mystery",South Korea,8.3,Oldboy,Original title: Oldeuboi,https://www.imdb.com//title/tt0364569/?ref_=chttp_i_74
"Christian Bale,Tom Hardy,Anne Hathaway",2012,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terro...",2h 44m,"Action,Drama,Thriller",United States,8.4,The Dark Knight Rises,,https://www.imdb.com//title/tt1345836/?ref_=chttp_i_71
"Peter Sellers,George C. Scott,Sterling Hayden",1964,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",1h 35m,"Comedy,War",United Kingdom,8.4,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,https://www.imdb.com//title/tt0057012/?ref_=chttp_i_72
"Brad Pitt,Diane Kruger,Eli Roth",2009,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",2h 33m,"Adventure,Drama,War",Germany,8.4,Inglourious Basterds,,https://www.imdb.com//title/tt0361748/?ref_=chttp_i_70
"Sigourney Weaver,Michael Biehn,Carrie Henn",1986,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",2h 17m,"Action,Adventure,Sci-Fi",United Kingdom,8.4,Aliens,,https://www.imdb.com//title/tt0090605/?ref_=chttp_i_69
"Tyrone Power,Marlene Dietrich,Charles Laughton",1957,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,1h 56m,"Crime,Drama,Mystery",United States,8.4,Witness for the Prosecution,,https://www.imdb.com//title/tt0051201/?ref_=chttp_i_67
"Shameik Moore,Jake Johnson,Hailee Steinfeld",2018,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,1h 57m,"Animation,Action,Adventure",Canada,8.4,Spider-Man: Into the Spider-Verse,,https://www.imdb.com//title/tt4633694/?ref_=chttp_i_65
"Charles Chaplin,Paulette Goddard,Jack Oakie",1940,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,2h 5m,"Comedy,Drama,War",United States,8.4,The Great Dictator,,https://www.imdb.com//title/tt0032553/?ref_=chttp_i_68
"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo",2018,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,2h 29m,"Action,Adventure,Sci-Fi",United States,8.4,Avengers: Infinity War,,https://www.imdb.com//title/tt4154756/?ref_=chttp_i_64
"William Holden,Gloria Swanson,Erich von Stroheim",1950,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,1h 50m,"Drama,Film-Noir",United States,8.4,Sunset Blvd.,Original title: Sunset Boulevard,https://www.imdb.com//title/tt0043014/?ref_=chttp_i_62
"Harrison Ford,Karen Allen,Paul Freeman",1981,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",1h 55m,"Action,Adventure",United States,8.4,Raiders of the Lost Ark,,https://www.imdb.com//title/tt0082971/?ref_=chttp_i_60
"Jack Nicholson,Shelley Duvall,Danny Lloyd",1980,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",2h 26m,"Drama,Horror",United Kingdom,8.4,The Shining,,https://www.imdb.com//title/tt0081505/?ref_=chttp_i_66
"Kirk Douglas,Ralph Meeker,Adolphe Menjou",1957,"After a failed attack on a German position, a general orders three soldiers, chosen at random, court-martialed for cowardice and their commanding officer must defend them.",1h 28m,"Drama,War",United States,8.4,Paths of Glory,,https://www.imdb.com//title/tt0050825/?ref_=chttp_i_63
"Ulrich Mühe,Martina Gedeck,Sebastian Koch",2006,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",2h 17m,"Drama,Mystery,Thriller",Germany,8.4,The Lives of Others,Original title: Das Leben der Anderen,https://www.imdb.com//title/tt0405094/?ref_=chttp_i_61
"Ben Burtt,Elissa Knight,Jeff Garlin",2008,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",1h 38m,"Animation,Adventure,Family",United States,8.4,WALL·E,,https://www.imdb.com//title/tt0910970/?ref_=chttp_i_59
"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano",2000,A man with short-term memory loss attempts to track down his wife's murderer.,1h 53m,"Mystery,Thriller",United States,8.4,Memento,,https://www.imdb.com//title/tt0209144/?ref_=chttp_i_58
"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio",2012,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",2h 45m,"Drama,Western",United States,8.5,Django Unchained,,https://www.imdb.com//title/tt1853728/?ref_=chttp_i_57
"Vikrant Massey,Medha Shankr,Anant Joshi",2023,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,,"Biography,Drama",India,9.0,12th Fail,,https://www.imdb.com//title/tt23849204/?ref_=chttp_i_55
"Charles Chaplin,Virginia Cherrill,Florence Lee",1931,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",1h 27m,"Comedy,Drama,Romance",United States,8.5,City Lights,,https://www.imdb.com//title/tt0021749/?ref_=chttp_i_54
"Martin Sheen,Marlon Brando,Robert Duvall",1979,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,2h 27m,"Drama,Mystery,War",United States,8.4,Apocalypse Now,,https://www.imdb.com//title/tt0078788/?ref_=chttp_i_56
"Sigourney Weaver,Tom Skerritt,John Hurt",1979,The crew of a commercial spacecraft encounters a deadly lifeform after investigating a mysterious transmission of unknown origin.,1h 57m,"Horror,Sci-Fi",United Kingdom,8.5,Alien,,https://www.imdb.com//title/tt0078748/?ref_=chttp_i_53
"Henry Fonda,Charles Bronson,Claudia Cardinale",1968,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,2h 46m,Western,Italy,8.5,Once Upon a Time in the West,Original title: C'era una volta il West,https://www.imdb.com//title/tt0064116/?ref_=chttp_i_52
"Charles Chaplin,Paulette Goddard,Henry Bergman",1936,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,1h 27m,"Comedy,Drama,Romance",United States,8.5,Modern Times,,https://www.imdb.com//title/tt0027977/?ref_=chttp_i_50
"James Stewart,Grace Kelly,Wendell Corey",1954,"A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of...",1h 52m,"Mystery,Thriller",United States,8.5,Rear Window,,https://www.imdb.com//title/tt0047396/?ref_=chttp_i_51
"Philippe Noiret,Enzo Cannavale,Antonella Attili",1988,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,2h 54m,"Drama,Romance",Italy,8.5,Cinema Paradiso,Original title: Nuovo Cinema Paradiso,https://www.imdb.com//title/tt0095765/?ref_=chttp_i_49
"Humphrey Bogart,Ingrid Bergman,Paul Henreid",1942,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,1h 42m,"Drama,Romance,War",United States,8.5,Casablanca,,https://www.imdb.com//title/tt0034583/?ref_=chttp_i_47
"François Cluzet,Omar Sy,Anne Le Ny",2011,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",1h 52m,"Comedy,Drama",France,8.5,The Intouchables,Original title: Intouchables,https://www.imdb.com//title/tt1675434/?ref_=chttp_i_48
"Kevin Spacey,Gabriel Byrne,Chazz Palminteri",1995,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,1h 46m,"Crime,Drama,Mystery",United States,8.5,The Usual Suspects,,https://www.imdb.com//title/tt0114814/?ref_=chttp_i_46
"Tatsuya Nakadai,Akira Ishihama,Shima Iwashita",1962,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so ...",2h 13m,"Action,Drama,Mystery",Japan,8.6,Harakiri,Original title: Seppuku,https://www.imdb.com//title/tt0056058/?ref_=chttp_i_45
"Christian Bale,Hugh Jackman,Scarlett Johansson",2006,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",2h 10m,"Drama,Mystery,Sci-Fi",United Kingdom,8.5,The Prestige,,https://www.imdb.com//title/tt0482571/?ref_=chttp_i_43
"Edward Norton,Edward Furlong,Beverly D'Angelo",1998,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who id...",1h 59m,"Crime,Drama",United States,8.5,American History X,,https://www.imdb.com//title/tt0120586/?ref_=chttp_i_41
"Miles Teller,J.K. Simmons,Melissa Benoist",2014,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,1h 46m,"Drama,Music",United States,8.5,Whiplash,,https://www.imdb.com//title/tt2582802/?ref_=chttp_i_42
"Leonardo DiCaprio,Matt Damon,Jack Nicholson",2006,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,2h 31m,"Crime,Drama,Thriller",United States,8.5,The Departed,,https://www.imdb.com//title/tt0407887/?ref_=chttp_i_40
"Jean Reno,Gary Oldman,Natalie Portman",1994,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin...",1h 50m,"Action,Crime,Drama",France,8.5,Léon: The Professional,Original title: Léon,https://www.imdb.com//title/tt0110413/?ref_=chttp_i_39
"Matthew Broderick,Jeremy Irons,James Earl Jones",1994,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",1h 28m,"Animation,Adventure,Drama",United States,8.5,The Lion King,,https://www.imdb.com//title/tt0110357/?ref_=chttp_i_38
"Russell Crowe,Joaquin Phoenix,Connie Nielsen",2000,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,2h 35m,"Action,Adventure,Drama",United States,8.5,Gladiator,,https://www.imdb.com//title/tt0172495/?ref_=chttp_i_37
"Anthony Perkins,Janet Leigh,Vera Miles",1960,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",1h 49m,"Horror,Mystery,Thriller",United States,8.5,Psycho,,https://www.imdb.com//title/tt0054215/?ref_=chttp_i_36
"Morgan Freeman,Brad Pitt,Kevin Spacey",1995,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",2h 7m,"Crime,Drama,Mystery",United States,8.6,Se7en,,https://www.imdb.com//title/tt0114369/?ref_=chttp_i_20
"Jack Nicholson,Louise Fletcher,Michael Berryman",1975,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",2h 13m,Drama,United States,8.7,One Flew Over the Cuckoo's Nest,,https://www.imdb.com//title/tt0073486/?ref_=chttp_i_19
"Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi",1988,A young boy and his little sister struggle to survive in Japan during World War II.,1h 29m,"Animation,Drama,War",Japan,8.5,Grave of the Fireflies,Original title: Hotaru no haka,https://www.imdb.com//title/tt0095327/?ref_=chttp_i_44
"Robert De Niro,Ray Liotta,Joe Pesci",1990,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",2h 25m,"Biography,Crime,Drama",United States,8.7,Goodfellas,,https://www.imdb.com//title/tt0099685/?ref_=chttp_i_18
"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss",1999,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",2h 16m,"Action,Sci-Fi",United States,8.7,The Matrix,,https://www.imdb.com//title/tt0133093/?ref_=chttp_i_17
"Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page",2010,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the pro...",2h 28m,"Action,Adventure,Sci-Fi",United States,8.8,Inception,,https://www.imdb.com//title/tt1375666/?ref_=chttp_i_15
"Mark Hamill,Harrison Ford,Carrie Fisher",1980,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",2h 4m,"Action,Adventure,Fantasy",United States,8.7,Star Wars: Episode V - The Empire Strikes Back,,https://www.imdb.com//title/tt0080684/?ref_=chttp_i_16
"Timothée Chalamet,Zendaya,Rebecca Ferguson",2024,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,2h 46m,"Action,Adventure,Drama",United States,8.8,Dune: Part Two,,https://www.imdb.com//title/tt15239678/?ref_=chttp_i_14
"Tom Hanks,Robin Wright,Gary Sinise",1994,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",2h 22m,"Drama,Romance",United States,8.8,Forrest Gump,,https://www.imdb.com//title/tt0109830/?ref_=chttp_i_11
"Elijah Wood,Ian McKellen,Viggo Mortensen",2002,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",2h 59m,"Action,Adventure,Drama",New Zealand,8.8,The Lord of the Rings: The Two Towers,,https://www.imdb.com//title/tt0167261/?ref_=chttp_i_12
"Clint Eastwood,Eli Wallach,Lee Van Cleef",1966,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,2h 58m,"Adventure,Western",Italy,8.8,"The Good, the Bad and the Ugly","Original title: Il buono, il brutto, il cattivo",https://www.imdb.com//title/tt0060196/?ref_=chttp_i_10
"Brad Pitt,Edward Norton,Meat Loaf",1999,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,2h 19m,Drama,Germany,8.8,Fight Club,,https://www.imdb.com//title/tt0137523/?ref_=chttp_i_13
"Elijah Wood,Ian McKellen,Orlando Bloom",2001,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,2h 58m,"Action,Adventure,Drama",New Zealand,8.9,The Lord of the Rings: The Fellowship of the Ring,,https://www.imdb.com//title/tt0120737/?ref_=chttp_i_9
"John Travolta,Uma Thurman,Samuel L. Jackson",1994,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",2h 34m,"Crime,Drama",United States,8.9,Pulp Fiction,,https://www.imdb.com//title/tt0110912/?ref_=chttp_i_8
"Liam Neeson,Ralph Fiennes,Ben Kingsley",1993,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",3h 15m,"Biography,Drama,History",United States,9.0,Schindler's List,,https://www.imdb.com//title/tt0108052/?ref_=chttp_i_6
"Elijah Wood,Viggo Mortensen,Ian McKellen",2003,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,3h 21m,"Action,Adventure,Drama",New Zealand,9.0,The Lord of the Rings: The Return of the King,,https://www.imdb.com//title/tt0167260/?ref_=chttp_i_7
"Henry Fonda,Lee J. Cobb,Martin Balsam",1957,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,1h 36m,"Crime,Drama",United States,9.0,12 Angry Men,,https://www.imdb.com//title/tt0050083/?ref_=chttp_i_5
"Christian Bale,Heath Ledger,Aaron Eckhart",2008,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2h 32m,"Action,Crime,Drama",United States,9.0,The Dark Knight,,https://www.imdb.com//title/tt0468569/?ref_=chttp_i_3
"Al Pacino,Robert De Niro,Robert Duvall",1974,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",3h 22m,"Crime,Drama",United States,9.0,The Godfather Part II,,https://www.imdb.com//title/tt0071562/?ref_=chttp_i_4
